nombre_normalizado,precio_venta,precio_costo,stock_actual,categoria,activo,visible
kit arrastre cb 160f,46000,0,476,KIT ARRASTRE,true,true
kit arrastre cbf 150 / thriller,45000,23971,247,KIT ARRASTRE,true,true
kit arrastre cripton t115 fi,39000,20913,578,KIT ARRASTRE,true,true
kit arrastre discover 125 st,43000,23420,155,KIT ARRASTRE,true,true
kit arrastre eco deluxe,41000,22000,0,KIT ARRASTRE,true,true
kit arrastre gixxer 250(520h),65000,0,292,KIT ARRASTRE,true,true
kit arrastre mrx 150(concavo),45000,0,485,KIT ARRASTRE,true,true
kit arrastre pulsar 200ns(520h),57000,0,288,KIT ARRASTRE,true,true
kit arrastre suzuki dr 150,45000,24666,894,KIT ARRASTRE,true,true
kit arrastre tvs 100,40000,0,483,KIT ARRASTRE,true,true
kit arrastre tvs neo 110nx,42000,0,476,KIT ARRASTRE,true,true
kit arrastre tvs raider 125,44000,0,460,KIT ARRASTRE,true,true
kit arrastre viva r 115 / best,36000,19270,500,KIT ARRASTRE,true,true
kit arrastre wave ii / wave 110,36000,20807,692,KIT ARRASTRE,true,true
kit arrastre xr 150 / bross 125,45000,25805,720,KIT ARRASTRE,true,true
kit arrastre xtz 125 m/n,45000,24523,793,KIT ARRASTRE,true,true
kit arrastre xtz-150,45000,0,482,KIT ARRASTRE,true,true
kit arrastre ybr 125/libero 125,40000,0,289,KIT ARRASTRE,true,true
kit cadenilla cb 110 / neo 110,14000,6345,1145,KIT CADENILLA,true,true
kit cadenilla cb 125f,15000,7785,1001,KIT CADENILLA,true,true
kit cadenilla eco 100 / eco deluxe / akt 110 / wave,14000,5587,560,KIT CADENILLA,true,true
kit cilindro akt ttr 150,75000,38947,64,KIT CILINDRO,true,true
kit cilindro cb 110,75000,36859,311,KIT CILINDRO,true,true
kit cilindro cb 125f,88000,39696,164,KIT CILINDRO,true,true
kit cilindro cbf 150,88000,42772,79,KIT CILINDRO,true,true
kit cilindro eco deluxe,58000,29208,183,KIT CILINDRO,true,true
kit cilindro xr 150,88000,42422,95,KIT CILINDRO,true,true
kit cilindro xtz 125,88000,41380,84,KIT CILINDRO,true,true
kit cunas direccion akt 125 nkd/cb 125f /eco 100,8000,4128,69,KIT CUNAS DIRECCION,true,true
kit cunas direccion boxer ct / paltino 100 / pulsar 135-180,8000,4685,127,KIT CUNAS DIRECCION,true,true
kit cunas direccion discover 125 st-150,9500,4685,137,KIT CUNAS DIRECCION,true,true
kit cunas direccion dr 150,11500,6116,410,KIT CUNAS DIRECCION,true,true
kit cunas direccion eco deluxe cuna direccion,8500,4032,1368,KIT CUNAS DIRECCION,true,true
kit cunas direccion xr 150,11000,4685,94,KIT CUNAS DIRECCION,true,true
kit cunas direccion xtz 125 m/n,10500,5277,69,KIT CUNAS DIRECCION,true,true
malla sillin xl,9000,4171,1838,MALLA SILLIN,true,true
malla sillin xxl,11000,4315,491,MALLA SILLIN,true,true
malla sillin xxxl,13000,4454,482,MALLA SILLIN,true,true
mango copa azul,16000,0,134,MANGO COPA,true,true
mango copa cromado,16000,0,160,MANGO COPA,true,true
mango copa morado,16000,0,129,MANGO COPA,true,true
mango copa negro,16000,0,143,MANGO COPA,true,true
mango copa rojo,16000,0,116,MANGO COPA,true,true
mango moxi tope azul,13000,0,139,MANGO MOXI TOPE,true,true
mango moxi tope cromado,13000,0,126,MANGO MOXI TOPE,true,true
mango moxi tope morado,13000,0,130,MANGO MOXI TOPE,true,true
mango moxi tope negro,13000,0,140,MANGO MOXI TOPE,true,true
mango moxi tope rojo,13000,0,118,MANGO MOXI TOPE,true,true
maniguetas clutch discover st,4500,1828,318,MANIGUETA CLUTCH,true,true
maniguetas clutch dr 150,4500,2035,82,MANIGUETA CLUTCH,true,true
maniguetas clutch eco deluxe,3800,1161,10,MANIGUETA CLUTCH,true,true
maniguetas clutch xtz 125,4500,2241,3,MANIGUETA CLUTCH,true,true
maniguetas freno dr 150,4500,2035,335,MANIGUETA FRENO,true,true
maniguetas freno xtz 125,4500,1900,500,MANIGUETA FRENO,true,true
mordaza freno disco akt 110s,38000,16689,158,MORDAZA FRENO DISCO,true,true
