familia_nombre,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
KIT ARRASTRE,wave ii / wave 110,36000,20807,692,2,/productos/kit-arrastre-wave-ii-/-wave-110.jpg,true,true
KIT ARRASTRE,xr 150 / bross 125,45000,25805,720,2,/productos/kit-arrastre-xr-150-/-bross-125.jpg,true,true
KIT ARRASTRE,xtz 125 m/n,45000,24523,793,2,/productos/kit-arrastre-xtz-125-m/n.jpg,true,true
KIT ARRASTRE,xtz-150,45000,0,482,2,/productos/kit-arrastre-xtz-150.jpg,true,true
KIT ARRASTRE,ybr 125/libero 125,40000,0,289,2,/productos/kit-arrastre-ybr-125/libero-125.jpg,true,true
KIT CADENILLA,cb 110 / neo 110,14000,6345,1145,2,/productos/kit-cadenilla-cb-110-/-neo-110.jpg,true,true
KIT CADENILLA,cb 125f,15000,7785,1001,2,/productos/kit-cadenilla-cb-125f.jpg,true,true
KIT CADENILLA,eco 100 / eco deluxe / akt 110 / wave,14000,5587,560,2,/productos/kit-cadenilla-eco-100-/-eco-deluxe-/-akt-110-/-wave.jpg,true,true
KIT CILINDRO,akt ttr 150,75000,38947,64,2,/productos/kit-cilindro-akt-ttr-150.jpg,true,true
KIT CILINDRO,cb 110,75000,36859,311,2,/productos/kit-cilindro-cb-110.jpg,true,true
KIT CILINDRO,cb 125f,88000,39696,164,2,/productos/kit-cilindro-cb-125f.jpg,true,true
KIT CILINDRO,cbf 150,88000,42772,79,2,/productos/kit-cilindro-cbf-150.jpg,true,true
KIT CILINDRO,eco deluxe,58000,29208,183,2,/productos/kit-cilindro-eco-deluxe.jpg,true,true
KIT CILINDRO,xr 150,88000,42422,95,2,/productos/kit-cilindro-xr-150.jpg,true,true
KIT CILINDRO,xtz 125,88000,41380,84,2,/productos/kit-cilindro-xtz-125.jpg,true,true
KIT CUNAS DIRECCION,akt 125 nkd/cb 125f /eco 100,8000,4128,69,2,/productos/kit-cunas-direccion-akt-125-nkd/cb-125f-/eco-100.jpg,true,true
KIT CUNAS DIRECCION,boxer ct / paltino 100 / pulsar 135-180,8000,4685,127,2,/productos/kit-cunas-direccion-boxer-ct-/-paltino-100-/-pulsar-135-180.jpg,true,true
KIT CUNAS DIRECCION,discover 125 st-150,9500,4685,137,2,/productos/kit-cunas-direccion-discover-125-st-150.jpg,true,true
KIT CUNAS DIRECCION,dr 150,11500,6116,410,2,/productos/kit-cunas-direccion-dr-150.jpg,true,true
KIT CUNAS DIRECCION,eco deluxe cuna direccion,8500,4032,1368,2,/productos/kit-cunas-direccion-eco-deluxe-cuna-direccion.jpg,true,true
KIT CUNAS DIRECCION,xr 150,11000,4685,94,2,/productos/kit-cunas-direccion-xr-150.jpg,true,true
KIT CUNAS DIRECCION,xtz 125 m/n,10500,5277,69,2,/productos/kit-cunas-direccion-xtz-125-m/n.jpg,true,true
MALLA SILLIN,xl,9000,4171,1838,2,/productos/malla-sillin-xl.jpg,true,true
MALLA SILLIN,xxl,11000,4315,491,2,/productos/malla-sillin-xxl.jpg,true,true
MALLA SILLIN,xxxl,13000,4454,482,2,/productos/malla-sillin-xxxl.jpg,true,true
MANGO COPA,azul,16000,0,134,2,/productos/mango-copa-azul.jpg,true,true
MANGO COPA,cromado,16000,0,160,2,/productos/mango-copa-cromado.jpg,true,true
MANGO COPA,morado,16000,0,129,2,/productos/mango-copa-morado.jpg,true,true
MANGO COPA,negro,16000,0,143,2,/productos/mango-copa-negro.jpg,true,true
MANGO COPA,rojo,16000,0,116,2,/productos/mango-copa-rojo.jpg,true,true
MANGO MOXI TOPE,azul,13000,0,139,2,/productos/mango-moxi-tope-azul.jpg,true,true
MANGO MOXI TOPE,cromado,13000,0,126,2,/productos/mango-moxi-tope-cromado.jpg,true,true
MANGO MOXI TOPE,morado,13000,0,130,2,/productos/mango-moxi-tope-morado.jpg,true,true
MANGO MOXI TOPE,negro,13000,0,140,2,/productos/mango-moxi-tope-negro.jpg,true,true
MANGO MOXI TOPE,rojo,13000,0,118,2,/productos/mango-moxi-tope-rojo.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch discover st,4500,1828,318,2,/productos/maniguetas-clutch-discover-st.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch dr 150,4500,2035,82,2,/productos/maniguetas-clutch-dr-150.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch eco deluxe,3800,1161,10,2,/productos/maniguetas-clutch-eco-deluxe.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch xtz 125,4500,2241,3,2,/productos/maniguetas-clutch-xtz-125.jpg,true,true
MANIGUETA FRENO,maniguetas freno dr 150,4500,2035,335,2,/productos/maniguetas-freno-dr-150.jpg,true,true
MANIGUETA FRENO,maniguetas freno xtz 125,4500,1900,500,2,/productos/maniguetas-freno-xtz-125.jpg,true,true
MORDAZA FRENO DISCO,akt 110s,38000,16689,158,2,/productos/mordaza-freno-disco-akt-110s.jpg,true,true
MORDAZA FRENO DISCO,akt nkd 125,38000,16689,426,2,/productos/mordaza-freno-disco-akt-nkd-125.jpg,true,true
MORDAZA FRENO DISCO,discover 125 st,48000,19473,408,2,/productos/mordaza-freno-disco-discover-125-st.jpg,true,true
