familia_id,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
cd923ffb-bd04-4160-bd16-aaa64e05c061,boxer ct / platino 100,5000,2814,159,2,/productos/boxer.jpg,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,cb 110,6000,2179,534,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,cb 125f,6000,2193,272,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,cbf 150,5500,2862,33,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,discover 125 st,6000,2856,539,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,eco deluxe,6000,2352,102,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,xr 150,6000,2232,243,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,xtz 125 m/n,7000,3124,600,2,,true,true
a0445560-5bbc-4ee3-bfeb-3dc5026bd322,boxer ct,5500,2809,150,2,/productos/boxer.jpg,true,true
a0445560-5bbc-4ee3-bfeb-3dc5026bd322,bws 125 guaya de freno trasero,9500,4512,251,2,,true,true
a0445560-5bbc-4ee3-bfeb-3dc5026bd322,cb 110,5500,2803,229,2,,true,true
a0445560-5bbc-4ee3-bfeb-3dc5026bd322,honda eco deluxe,5500,3026,0,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,akt 110s / wave 100,35000,19345,731,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,akt 125 nkd,36000,20882,497,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,akt ttr 125 / 150,62000,34593,361,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,akt ttr 200(520h),58000,0,295,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,apache rtr 200(520h),65000,0,292,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,boxer ct / platino,39000,21995,194,2,/productos/boxer.jpg,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,cb 110 / neo,38000,22864,490,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,cb 125f,43000,23779,207,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,cb 160f,46000,0,476,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,cbf 150 / thriller,45000,23971,247,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,cripton t115 fi,39000,20913,578,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,discover 125 st,43000,23420,155,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,eco deluxe,41000,22000,0,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,gixxer 250(520h),65000,0,292,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,mrx 150(concavo),45000,0,485,2,/productos/mr.png,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,pulsar 200ns(520h),57000,0,288,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,suzuki dr 150,45000,24666,894,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,tvs 100,40000,0,483,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,tvs neo 110nx,42000,0,476,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,tvs raider 125,44000,0,460,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,viva r 115 / best,36000,19270,500,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,wave ii / wave 110,36000,20807,692,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,xr 150 / bross 125,45000,25805,720,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,xtz 125 m/n,45000,24523,793,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,xtz-150,45000,0,482,2,,true,true
d2c19ad5-1485-4c6d-8046-bb9ea44e1179,ybr 125/libero 125,40000,0,289,2,,true,true
db9d6df6-733c-479d-8216-73e401c0cba8,cb 110 / neo 110,14000,6345,1145,2,/productos/kit-cadenilla.png,true,true
db9d6df6-733c-479d-8216-73e401c0cba8,cb 125f,15000,7785,1001,2,/productos/kit-cadenilla.png,true,true
db9d6df6-733c-479d-8216-73e401c0cba8,eco 100 / eco deluxe / akt 110 / wave,14000,5587,560,2,/productos/kit-cadenilla.png,true,true
09379696-9f78-410e-a17b-935b2f6e8546,akt ttr 150,75000,38947,64,2,,true,true
09379696-9f78-410e-a17b-935b2f6e8546,cb 110,75000,36859,311,2,/productos/kit-cilindro-cb-110.jpg,true,true
09379696-9f78-410e-a17b-935b2f6e8546,cb 125f,88000,39696,164,2,/productos/kit-cilindro-cb-125f.jpg,true,true
09379696-9f78-410e-a17b-935b2f6e8546,cbf 150,88000,42772,79,2,,true,true
09379696-9f78-410e-a17b-935b2f6e8546,eco deluxe,58000,29208,183,2,/productos/kit-cilindro-eco-delux.jpg,true,true
09379696-9f78-410e-a17b-935b2f6e8546,xr 150,88000,42422,95,2,/productos/kit-cilindro-xr-150l.jpg,true,true
09379696-9f78-410e-a17b-935b2f6e8546,xtz 125,88000,41380,84,2,/productos/kit-cilindro-xtz-125.jpg,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,akt 125 nkd/cb 125f /eco 100,8000,4128,69,2,/productos/cunas.png,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,boxer ct / paltino 100 / pulsar 135-180,8000,4685,127,2,/productos/boxer.jpg,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,discover 125 st-150,9500,4685,137,2,/productos/cunas.png,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,dr 150,11500,6116,410,2,/productos/cunas.png,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,eco deluxe cuna direccion,8500,4032,1368,2,/productos/cunas.png,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,xr 150,11000,4685,94,2,/productos/cunas.png,true,true
d089e2aa-a36e-41ab-89f5-669fc7175610,xtz 125 m/n,10500,5277,69,2,/productos/cunas.png,true,true
2a66e078-b40d-4e26-958c-78a32cd5236b,xl,9000,4171,1838,2,/productos/sillin.png,true,true
2a66e078-b40d-4e26-958c-78a32cd5236b,xxl,11000,4315,491,2,/productos/sillin.png,true,true
2a66e078-b40d-4e26-958c-78a32cd5236b,xxxl,13000,4454,482,2,/productos/sillin.png,true,true
166110a5-7a57-4ce1-b20c-fc9652f01ce4,azul,16000,0,134,2,/productos/mga.jpg,true,true
166110a5-7a57-4ce1-b20c-fc9652f01ce4,cromado,16000,0,160,2,,true,true
166110a5-7a57-4ce1-b20c-fc9652f01ce4,morado,16000,0,129,2,,true,true
166110a5-7a57-4ce1-b20c-fc9652f01ce4,negro,16000,0,143,2,/productos/negro.png,true,true
166110a5-7a57-4ce1-b20c-fc9652f01ce4,rojo,16000,0,116,2,,true,true
ece2c624-6b02-46d3-9d26-6c85bb87a342,azul,13000,0,139,2,,true,true
ece2c624-6b02-46d3-9d26-6c85bb87a342,cromado,13000,0,126,2,,true,true
ece2c624-6b02-46d3-9d26-6c85bb87a342,morado,13000,0,130,2,,true,true
ece2c624-6b02-46d3-9d26-6c85bb87a342,negro,13000,0,140,2,/productos/negro.png,true,true
ece2c624-6b02-46d3-9d26-6c85bb87a342,rojo,13000,0,118,2,/productos/mr.png,true,true
01c648e8-67ff-43ab-8331-b3ee17786d51,maniguetas clutch discover st,4500,1828,318,2,,true,true
01c648e8-67ff-43ab-8331-b3ee17786d51,maniguetas clutch dr 150,4500,2035,82,2,,true,true
01c648e8-67ff-43ab-8331-b3ee17786d51,maniguetas clutch eco deluxe,3800,1161,10,2,,true,true
01c648e8-67ff-43ab-8331-b3ee17786d51,maniguetas clutch xtz 125,4500,2241,3,2,,true,true
2889eabc-bc98-4d4d-856b-159495d62a5b,maniguetas freno dr 150,4500,2035,335,2,,true,true
2889eabc-bc98-4d4d-856b-159495d62a5b,maniguetas freno xtz 125,4500,1900,500,2,,true,true
41eeb087-1896-41ae-b3c1-2e7243db02fc,akt 110s,38000,16689,158,2,,true,true
41eeb087-1896-41ae-b3c1-2e7243db02fc,akt nkd 125,38000,16689,426,2,,true,true
41eeb087-1896-41ae-b3c1-2e7243db02fc,discover 125 st,48000,19473,408,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno akt 110 delantero,5000,2433,1979,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno akt 125 flex delantero,5000,2572,316,2,,true,true
fbbb52f7-26fe-406c-96b9-cb42dc75df4f,pastilla de freno apache 180 trasero,6000,2572,187,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno best 125 delantero,5000,2433,301,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno cb 125f delantero,5000,2572,394,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno cbf 150 delantero,5000,2505,210,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno crypton t115 fi delantero,5000,2572,404,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno dr 150 delantero,6000,2184,318,2,,true,true
fbbb52f7-26fe-406c-96b9-cb42dc75df4f,pastilla de freno invicta trasero,6000,2572,384,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno pulsar 135 delantero,5000,2433,2337,2,,true,true
fbbb52f7-26fe-406c-96b9-cb42dc75df4f,pastilla de freno pulsar 200ns trasero,6000,2572,297,2,,true,true
fbbb52f7-26fe-406c-96b9-cb42dc75df4f,pastilla de freno triller 150 trasero,6000,2572,395,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno vivar 115 delantero,5000,2505,256,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno xr 150 delantero,5000,2505,239,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno xtz 125 delantero,5000,2433,276,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno xtz 150 delantero,5000,2433,146,2,,true,true
fbbb52f7-26fe-406c-96b9-cb42dc75df4f,pastilla de freno xtz 250 trasero,7000,2784,82,2,,true,true
df8f0351-7f0b-462c-95eb-f685c5c40576,pastilla de freno ybr 125 delantero,5000,2433,300,2,,true,true
b3dba7e3-dedc-4f2e-82c4-1939938b8008,único,6000,3105,132,2,/productos/pito.png,true,true
e564f76b-9e0f-4b69-ab60-01929c693b90,akt nkd 125,30000,15926,169,2,/productos/plato-bobina.png,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,akt 125 nkd / ttr 125-150,32000,17951,41,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,cb 110 / neo 110,33000,17155,368,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,cb125,36000,17510,260,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,cbf 150 / invicta 150 /xr 150,36000,17736,27,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,discover 125 st,35000,18000,62,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,dr 150,39000,17385,166,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,eco deluxe,31000,17558,2,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,tvs 100,36000,15302,170,2,,true,true
65db5cfc-4ee1-478c-afb6-4d6a225a344b,xtz 125,34000,16444,287,2,,true,true
031eafd2-b61c-427e-8aec-bbbc00eee913,akt 110,12000,5736,361,2,,true,true
031eafd2-b61c-427e-8aec-bbbc00eee913,akt nkd 125,12000,5736,353,2,,true,true
07dd5beb-888b-4a73-8de3-c81350073cb7,eco deluxe,8500,4016,1491,2,/productos/relay-eco.png,true,true
07dd5beb-888b-4a73-8de3-c81350073cb7,universal,9500,5121,990,2,/productos/relay-universal.png,true,true
07dd5beb-888b-4a73-8de3-c81350073cb7,xtz 125 / ybr 125 / libero 125,14500,7824,1265,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,akt 125 nkd,10500,5400,0,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,ax 4,27000,13910,275,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,boxer ct / platino 100,18500,9873,171,2,/productos/boxer.jpg,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,cb 110 / neo 110,17000,9043,631,2,,true,true
