;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Reporte de productos;;;;;;;;;;;"¿Tienes dudas de como usar Tiendana?
Ve nuestro canal en Youtube";;;"
Descarga nuestra App en:


";;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;"¿Necesitas ayuda?
Escríbenos a nuesto  Whatsapp Aquí >>>>";;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;¿Necesitas equipos POS?;;;;;;;;;;;;;;;;;;;;;;
;;Id;Nombre;Precio;Cantidad;Vender sin stock;Imagen;Código (SKU);Código de barras;Categoría;Marca;Costo del producto;IVA;INC;¿Aplica descuento?;Precio en descuento;¿Vender a granel?;Unidad de medida;Habilitar venta en línea;Descripción corta;Descripción general;Activo;Subcategoría;Costo total inventario;Total inventario por vender
;;1767801;CAPUCHON PULSAR 135-180/DISCOVER 125-150;$6.000,00;633,00;No;-;-;-;CAPUCHON;AUTECO;$2.899,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.835.067,00;$3.798.000,00
;;1767800;CAPUCHON YESKY NEGRO;$2.000,00;413,00;No;-;-;-;CAPUCHON;YAMAHA;$1.022,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$422.086,00;$826.000,00
;;2438496;CARBURADOR AKT 110;$43.000,00;162,00;No;-;-;-;CARBURADOR;-;$20.169,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$3.267.378,00;$6.966.000,00
;;2438490;CARBURADOR AKT NKD 125;$45.000,00;153,00;No;-;-;-;CARBURADOR;-;$13.910,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$2.128.230,00;$6.885.000,00
;;2438492;CARBURADOR BOXER CT 100;$43.000,00;198,00;No;-;-;-;CARBURADOR;-;$20.865,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$4.131.270,00;$8.514.000,00
;;2438499;CARBURADOR ECO DELUXE;$48.000,00;162,00;No;-;-;-;CARBURADOR;-;$22.252,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$3.604.824,00;$7.776.000,00
;;2438213;CDI AKT 110;$13.000,00;169,00;No;-;-;-;CDI;-;$6.504,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.099.176,00;$2.197.000,00
;;2438198;COMANDO DERECHO ECO DELUXE;$6.000,00;339,00;No;-;-;-;COMANDO DERECHO;-;$2.731,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$925.809,00;$2.034.000,00
;;2438193;COMANDO DERECHO NKD 125;$12.500,00;134,00;No;-;-;-;COMANDO DERECHO;-;$6.355,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$851.570,00;$1.675.000,00
;;2438196;COMANDO DERECHO TVS 100 ES;$15.500,00;175,00;No;-;-;-;COMANDO DERECHO;-;$7.560,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.323.000,00;$2.712.500,00
;;2438185;COMANDO IZQUIERDO AKT NKD 125;$12.500,00;156,00;No;-;-;-;COMANDO IZQUIERDO;-;$6.566,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.024.296,00;$1.950.000,00
;;2438181;COMANDO IZQUIERDO CB 110;$16.500,00;234,00;No;-;-;-;COMANDO IZQUIERDO;-;$8.649,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$2.023.866,00;$3.861.000,00
;;2438186;COMANDO IZQUIERDO ECO DELUXE;$17.500,00;289,00;No;-;-;-;COMANDO IZQUIERDO;-;$8.376,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$2.420.664,00;$5.057.500,00
;;2438188;COMANDO IZQUIERDO TVS 100;$27.000,00;174,00;No;-;-;-;COMANDO IZQUIERDO;-;$14.097,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$2.452.878,00;$4.698.000,00
;;1767791;DIRECCIONALES AKT NKD 125;$6.000,00;351,00;No;-;-;-;DIRECCIONALES;AKT;$2.985,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.047.735,00;$2.106.000,00
;;1767792;DIRECCIONALES BOXER CT;$5.000,00;0,00;No;-;-;-;DIRECCIONALES;AUTECO;$2.544,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$0,00;$0,00
;;1767789;DIRECCIONALES CB 110 / XR 150;$6.000,00;1.074,00;No;-;-;-;DIRECCIONALES;HONDA;$3.196,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$3.432.504,00;$6.444.000,00
;;2438154;DIRECCIONALES CBF 150;$6.500,00;410,00;No;-;-;-;DIRECCIONALES;-;$3.196,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.310.360,00;$2.665.000,00
;;1767793;DIRECCIONALES DISCOVER 125 ST;$6.500,00;8,00;No;-;-;-;DIRECCIONALES;AUTECO;$3.460,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$27.680,00;$52.000,00
;;2438136;DIRECCIONALES SPLENDOR NXG;$6.000,00;5.586,00;No;-;-;-;DIRECCIONALES;-;$3.268,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$18.255.048,00;$33.516.000,00
